Federal Provider Number,longest_streak
065255,0
065256,0
065257,0
065258,0
065259,0
065264,0
065265,0
065266,0
065267,0
065269,0
065272,0
065273,0
065274,0
065276,0
065278,0
065282,0
065283,0
065284,0
065285,0
065286,0
065290,0
065291,0
065292,0
065294,0
065296,0
065297,0
065298,0
065299,0
065302,0
065303,0
065305,0
065306,0
065307,0
065308,0
065309,0
065311,0
065312,0
065316,0
065318,0
065320,0
065321,0
065322,0
065323,0
065324,0
065325,0
065327,0
065330,0
065331,0
065332,0
065333,0
065337,0
065341,0
065344,0
065345,0
065347,0
065351,0
065354,0
065355,0
065356,0
065358,0
065359,0
065360,0
065361,0
065362,0
065366,0
065367,0
065368,0
065370,0
065373,0
065374,0
065376,0
065377,0
065378,0
065379,0
065380,0
065381,0
065382,0
065383,0
065384,0
065386,0
065387,0
065388,0
065390,0
065391,0
065393,0
065394,0
065395,0
065396,0
065397,0
065398,0
065399,0
065400,0
065401,0
065402,0
065403,0
065404,0
065405,0
065407,0
065408,0
065409,0
065410,0
065411,0
065412,0
065413,0
065414,0
065415,0
065416,0
065417,0
065418,0
065419,0
065420,0
065421,0
065423,0
065424,0
065425,0
065427,0
065429,0
065430,0
065431,0
065432,0
065433,0
06A088,0
06A171,0
06A172,0
06A173,0
06A175,0
06A185,0
06A190,0
06A192,0
06A196,0
075001,0
075011,0
075013,0
075017,0
075028,0
075031,0
075034,0
075044,0
075047,0
075057,0
075060,0
075061,0
075063,0
075064,0
075069,0
075070,0
075074,0
075078,0
075079,0
075082,0
075084,0
075085,0
075089,0
075096,0
075105,0
075106,0
075109,0
075111,0
075113,0
075117,0
075135,0
075138,0
075144,0
075146,0
075153,0
075158,0
075159,0
075163,0
075181,0
075182,0
075183,0
075192,0
075195,0
075196,0
075198,0
075200,0
075201,0
075202,0
075208,0
075210,0
075211,0
075213,0
075214,0
075216,0
075219,0
075221,0
075222,0
075228,0
075230,0
075231,0
075232,0
075234,0
075235,0
075236,0
075237,0
075238,0
075240,0
075241,0
075243,0
075244,0
075246,0
075250,0
075251,0
075252,0
075253,0
075257,0
075258,0
075261,0
075263,0
075264,0
075265,0
075268,0
075270,0
075271,0
075272,0
075274,0
075275,0
075278,0
075279,0
075280,0
075282,0
075286,0
075288,0
075290,0
075292,0
075293,0
075294,0
075295,0
075296,0
075299,0
075300,0
075301,0
075306,0
075307,0
075309,0
075310,0
075312,0
075313,0
075314,0
075316,0
075317,0
075318,0
075319,0
075320,0
075321,0
075322,0
075323,0
075324,0
075325,0
075326,0
075327,0
075329,0
075330,0
075331,0
075332,0
075333,0
075334,0
075335,0
075336,0
075337,0
075338,0
075339,0
075340,0
075341,0
075343,0
075345,0
075347,0
075348,0
075349,0
075350,0
075351,0
075352,0
075353,0
075354,0
075355,0
075356,0
075358,0
075359,0
075361,0
075362,0
075365,0
075366,0
075367,0
075368,0
075371,0
075373,0
075374,0
075375,0
075377,0
075378,0
075379,0
075380,0
075381,0
075382,0
075383,0
075384,0
075386,0
075387,0
075388,0
075389,0
075390,0
075393,0
075394,0
075395,0
075396,0
075397,0
075400,0
075402,0
075403,0
075404,0
075405,0
075407,0
075408,0
075410,0
075411,0
075412,0
075413,0
075414,0
075415,0
075416,0
075418,0
075419,0
075420,0
075421,0
075423,0
075425,0
075429,0
075431,0
075432,0
075434,0
075436,0
075437,0
075438,0
075439,0
075440,0
075441,0
075442,0
075443,0
085001,0
085002,0
085003,0
085004,0
085006,0
085009,0
085010,0
085012,0
085013,0
085015,0
085017,0
085019,0
085020,0
085021,0
085025,0
085026,0
085027,0
085028,0
085029,0
085031,0
085032,0
085033,0
085034,0
085035,0
085037,0
085039,0
085040,0
085041,0
085042,0
085043,0
085047,0
085048,0
085050,0
085051,0
085052,0
085053,0
085054,0
085055,0
085056,0
085057,0
085058,0
08A006,0
08A011,0
08A015,0
08A020,0
095014,0
095015,0
095019,0
095020,0
095022,0
095024,0
095025,0
095026,0
095027,0
095028,0
095030,0
